1.98644,0.562573,0.180008,0.118405,0.15128,10.9457,3.50801,0.651886,0.542183,0.508128,6.51138,1.87528,0.920524,0.179914,0.51841,6.22348,1.65758,0.925643,0.142206,0.485734,acer_adapter_135W
2.23849,0.458561,0.351749,0.223627,0.187131,7.40554,2.05055,0.971481,0.165258,0.500378,7.64742,2.14788,0.942306,0.205304,0.397625,6.19809,1.66248,0.862845,0.117294,0.480936,acer_adapter_135W
2.23448,0.486472,0.350356,0.110349,0.142014,3.48044,2.86052,2.40422,1.37736,1.09252,6.62176,1.70148,0.971566,0.151045,0.599465,6.0915,1.47081,0.965851,0.130046,0.59982,acer_adapter_135W
2.87971,0.610929,0.26391,0.179867,0.11713,3.14377,2.38067,2.35704,1.41386,1.06764,3.93856,0.868372,0.665221,0.377508,0.314694,4.24586,0.936263,0.667426,0.288354,0.196895,acer_adapter_135W
2.66305,0.472761,0.409018,0.22864,0.144909,5.82994,1.13584,0.952783,0.222887,0.347617,8.02955,1.55636,1.0046,0.193697,0.480697,7.70518,1.48222,0.937717,0.185651,0.429471,acer_adapter_135W
2.48011,0.682159,0.412048,0.246643,0.205399,8.00854,2.03504,0.769758,0.22193,0.516236,6.00617,1.35864,0.799013,0.224054,0.475487,5.87499,1.38001,0.757902,0.163174,0.428473,acer_adapter_135W
2.78234,0.726403,0.245498,0.20127,0.180556,5.96854,1.57097,0.865635,0.250369,0.376923,4.68138,2.0604,1.58271,1.24676,0.931325,4.97959,1.20486,1.11735,0.614982,0.535925,acer_adapter_135W
2.80988,0.544325,0.338623,0.165865,0.196684,7.39428,1.82057,0.86909,0.195235,0.385624,5.1154,1.07244,0.779457,0.2913,0.341383,6.08268,1.24032,0.888213,0.231364,0.489213,acer_adapter_135W
2.29266,0.591027,0.184957,0.237403,0.15341,9.93256,2.40375,0.958087,0.297726,0.409386,5.87282,1.23984,0.82866,0.218788,0.541127,6.0795,1.27921,0.840448,0.148707,0.469912,acer_adapter_135W
2.87905,0.574433,0.388389,0.200638,0.236798,4.22229,1.01665,0.642729,0.471028,0.257894,4.26587,0.950549,0.68354,0.292414,0.287635,6.04173,1.11073,0.856526,0.133935,0.328052,acer_adapter_135W
